City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Samarai,PG,2021-06-28 20:42:06,-10.6167,150.6667,78.85,85,91,12.5
147,Maceio,BR,2021-06-28 20:40:37,-9.6658,-35.7353,78.24,69,40,10.36
148,Bahia Honda,CU,2021-06-28 20:42:07,22.9036,-83.1592,86.2,64,64,8.75
149,Castro,BR,2021-06-28 20:42:07,-24.7911,-50.0119,43.0,95,100,9.78
150,Luderitz,NA,2021-06-28 20:42:08,-26.6481,15.1594,57.87,69,4,5.84
151,Salalah,OM,2021-06-28 20:42:08,17.0151,54.0924,80.69,89,40,2.3
152,Westport,US,2021-06-28 20:42:08,41.1415,-73.3579,96.62,68,1,1.99
153,Puerto Ayora,EC,2021-06-28 20:42:09,-0.7393,-90.3518,78.76,84,77,7.0
154,Praia Da Vitoria,PT,2021-06-28 20:42:09,38.7333,-27.0667,71.85,78,20,11.27
155,Bengkulu,ID,2021-06-28 20:42:10,-3.8004,102.2655,74.23,91,90,4.9
156,La Asuncion,VE,2021-06-28 20:42:10,11.0333,-63.8628,81.1,76,5,18.99
157,Seoul,KR,2021-06-28 20:40:16,37.5683,126.9778,69.24,94,75,2.3
158,Diamantino,BR,2021-06-28 20:42:10,-14.4086,-56.4461,66.43,60,91,11.7
159,Cabedelo,BR,2021-06-28 20:42:11,-6.9811,-34.8339,77.67,70,16,16.4
160,Kargil,IN,2021-06-28 20:42:11,34.5667,76.1,52.93,53,11,6.13
161,Auki,SB,2021-06-28 20:42:11,-8.7676,160.7034,75.78,89,88,4.74
162,Pilar,BR,2021-06-28 20:42:12,-9.5972,-35.9567,76.93,85,1,4.09
163,Butaritari,KI,2021-06-28 20:42:12,3.0707,172.7902,81.84,78,100,13.2
164,Bassila,BJ,2021-06-28 20:42:12,9.0081,1.6654,76.64,76,52,6.98
165,San Policarpo,PH,2021-06-28 20:42:13,12.1791,125.5072,78.19,88,49,5.95
166,Raudeberg,NO,2021-06-28 20:42:13,61.9875,5.1352,58.6,86,100,4.7
167,Lagoa,PT,2021-06-28 20:42:14,39.05,-27.9833,69.12,85,4,10.94
168,Mount Isa,AU,2021-06-28 20:42:14,-20.7333,139.5,49.77,87,53,0.0
169,Kongolo,CD,2021-06-28 20:42:14,-5.3833,27.0,75.11,37,45,3.24
170,Harper,LR,2021-06-28 20:42:15,4.375,-7.7169,77.61,84,100,9.4
171,Vila Franca Do Campo,PT,2021-06-28 20:42:15,37.7167,-25.4333,70.21,91,7,5.37
172,Houma,US,2021-06-28 20:40:07,29.5958,-90.7195,84.99,80,75,8.05
173,Tuktoyaktuk,CA,2021-06-28 20:42:15,69.4541,-133.0374,60.8,77,40,16.11
174,Anadyr,RU,2021-06-28 20:42:16,64.75,177.4833,57.7,67,0,15.66
175,Hofn,IS,2021-06-28 20:42:16,64.2539,-15.2082,49.46,83,100,2.84
176,Saint George,US,2021-06-28 20:42:16,37.1041,-113.5841,102.63,14,1,1.99
177,Sajanan,TN,2021-06-28 20:42:17,37.0573,9.2426,75.47,80,77,4.41
178,Yerbogachen,RU,2021-06-28 20:42:17,61.2767,108.0108,54.09,95,84,4.36
179,Udachnyy,RU,2021-06-28 20:42:17,66.4167,112.4,58.48,47,78,5.32
180,Balaka,MW,2021-06-28 20:42:18,-14.9793,34.9558,63.03,53,1,1.81
181,Herat,AF,2021-06-28 20:42:18,34.5,62.0,77.31,18,0,10.85
182,Hithadhoo,MV,2021-06-28 20:42:18,-0.6,73.0833,82.22,73,70,8.68
183,Hayden,US,2021-06-28 20:38:31,47.766,-116.7866,104.36,24,1,10.36
184,Dikson,RU,2021-06-28 20:42:19,73.5069,80.5464,34.43,84,2,10.6
185,Qasigiannguit,GL,2021-06-28 20:42:19,68.8193,-51.1922,39.45,88,99,2.8
186,Leshukonskoye,RU,2021-06-28 20:42:19,64.8989,45.7622,62.73,96,100,4.05
187,Varnamo,SE,2021-06-28 20:42:20,57.186,14.04,65.28,68,16,5.64
188,Nuuk,GL,2021-06-28 20:42:20,64.1835,-51.7216,39.81,87,75,18.41
189,Hyeres,FR,2021-06-28 20:42:20,43.1167,6.1167,76.68,59,0,5.75
190,Ahipara,NZ,2021-06-28 20:42:21,-35.1667,173.1667,54.95,71,86,21.32
191,Ilulissat,GL,2021-06-28 20:42:21,69.2167,-51.1,39.22,87,75,10.36
