City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
113,Kaitangata,NZ,2021-06-30 19:37:46,-46.2817,169.8464,43.93,87,59,4.25,broken clouds,0.0,0.0
114,Nanortalik,GL,2021-06-30 19:37:46,60.1432,-45.2371,43.97,78,39,9.84,scattered clouds,0.0,0.0
115,Buraydah,SA,2021-06-30 19:34:29,26.326,43.975,95.45,7,1,9.01,clear sky,0.0,0.0
116,Oyama,JP,2021-06-30 19:37:47,36.3,139.8,70.83,95,100,3.02,light rain,0.0,0.0
117,Pangnirtung,CA,2021-06-30 19:37:47,66.1451,-65.7125,41.0,87,90,8.05,overcast clouds,0.0,0.0
118,Iskateley,RU,2021-06-30 19:37:47,67.6803,53.1512,52.36,90,100,10.04,overcast clouds,0.0,0.0
119,Aswan,EG,2021-06-30 19:37:47,24.0934,32.907,97.61,15,0,15.68,clear sky,0.0,0.0
120,Taltal,CL,2021-06-30 19:37:48,-25.4,-70.4833,63.14,62,52,4.21,broken clouds,0.0,0.0
121,Prince Rupert,CA,2021-06-30 19:37:48,54.3161,-130.3201,60.49,93,40,6.91,scattered clouds,0.0,0.0
122,San Quintin,MX,2021-06-30 19:37:49,30.4833,-115.95,74.12,64,3,9.04,clear sky,0.0,0.0
123,Rio Gallegos,AR,2021-06-30 19:34:40,-51.6226,-69.2181,41.05,81,0,2.3,clear sky,0.0,0.0
124,Nishihara,JP,2021-06-30 19:37:49,26.1842,127.7558,79.88,94,75,12.66,broken clouds,0.0,0.0
125,Kavieng,PG,2021-06-30 19:37:50,-2.5744,150.7967,80.22,81,98,6.69,light rain,0.0,0.0
126,Krasnoselkup,RU,2021-06-30 19:37:50,65.7,82.4667,52.5,65,94,7.92,overcast clouds,0.0,0.0
127,Kuah,MY,2021-06-30 19:37:50,6.3265,99.8432,78.8,94,20,0.0,few clouds,0.0,0.0
128,Mogadishu,SO,2021-06-30 19:37:51,2.0371,45.3438,77.27,79,36,17.38,scattered clouds,0.0,0.0
129,Adolfo Ruiz Cortines,MX,2021-06-30 19:37:51,25.75,-108.75,88.03,72,100,8.46,overcast clouds,0.0,0.0
130,Nara,JP,2021-06-30 19:37:51,34.6851,135.8049,72.97,96,100,11.5,overcast clouds,0.0,0.0
131,Pevek,RU,2021-06-30 19:37:51,69.7008,170.3133,34.57,75,40,15.03,scattered clouds,0.0,0.0
132,Casino,AU,2021-06-30 19:37:52,-28.8667,153.05,64.15,100,95,5.75,overcast clouds,0.0,0.0
133,Sabang,ID,2021-06-30 19:37:52,5.8933,95.3214,81.7,75,87,5.46,overcast clouds,0.0,0.0
134,Sitka,US,2021-06-30 19:33:10,57.0531,-135.33,58.89,67,75,14.97,broken clouds,0.0,0.0
135,Carman,CA,2021-06-30 19:37:53,49.4992,-98.0016,86.65,39,2,5.75,clear sky,0.0,0.0
136,Chokurdakh,RU,2021-06-30 19:37:53,70.6333,147.9167,43.92,51,3,10.89,clear sky,0.0,0.0
137,Port Keats,AU,2021-06-30 19:37:53,-14.25,129.55,69.84,54,0,8.68,clear sky,0.0,0.0
138,Georgetown,MY,2021-06-30 19:34:40,5.4112,100.3354,79.9,87,20,1.01,few clouds,0.0,0.0
139,Bredasdorp,ZA,2021-06-30 19:37:54,-34.5322,20.0403,60.12,55,58,14.97,light rain,0.0,0.0
140,Kidal,ML,2021-06-30 19:37:54,18.4411,1.4078,89.92,34,80,15.68,broken clouds,0.0,0.0
141,Troitskoye,RU,2021-06-30 19:37:54,52.9821,84.6757,60.3,87,100,3.2,overcast clouds,0.0,0.0
142,Mossendjo,CG,2021-06-30 19:37:55,-2.9506,12.7261,70.56,82,95,4.18,overcast clouds,0.0,0.0
143,Vestmannaeyjar,IS,2021-06-30 19:37:55,63.4427,-20.2734,50.99,100,90,6.91,drizzle,0.0,0.0
144,Nemuro,JP,2021-06-30 19:37:55,43.3236,145.575,52.65,88,100,5.44,overcast clouds,0.0,0.0
145,Kovur,IN,2021-06-30 19:37:56,14.4833,79.9833,86.61,69,99,11.43,overcast clouds,0.0,0.0
146,Maragogi,BR,2021-06-30 19:37:56,-9.0122,-35.2225,75.76,86,39,5.53,scattered clouds,0.0,0.0
147,Acari,PE,2021-06-30 19:37:56,-15.4311,-74.6158,74.08,50,3,7.58,clear sky,0.0,0.0
148,Viedma,AR,2021-06-30 19:37:57,-40.8135,-62.9967,51.22,31,100,21.56,overcast clouds,0.0,0.0
149,Dhidhdhoo,MV,2021-06-30 19:37:57,6.8833,73.1,82.76,76,93,17.49,overcast clouds,0.0,0.0
150,Touros,BR,2021-06-30 19:37:57,-5.1989,-35.4608,79.7,89,99,9.57,overcast clouds,0.0,0.0
