City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Maragogi,BR,75.76,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
147,Acari,PE,74.08,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
148,Viedma,AR,51.22,overcast clouds,-40.8135,-62.9967,Hotel Cristal
149,Dhidhdhoo,MV,82.76,overcast clouds,6.8833,73.1,Dhidhoo beach
150,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
151,Ketchikan,US,66.67,clear sky,55.3422,-131.6461,Snows Cove Lodge
152,Caluquembe,AO,59.23,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
153,Fairbanks,US,68.02,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
155,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
156,Lorengau,PG,80.64,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
157,Am Timan,TD,80.69,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
158,Urengoy,RU,51.13,broken clouds,65.9667,78.3667,Gostinnitsa Medveditsa
159,Necaxa,MX,70.32,overcast clouds,20.2167,-98.0,Hotel Forest Spa
160,Plettenberg Bay,ZA,58.82,clear sky,-34.0527,23.3716,Thanda Vista B&B
161,Arraial Do Cabo,BR,66.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
162,Varena,LT,74.05,few clouds,54.2167,24.5667,"EKORATAS, UAB viešbutis Varėna"
163,Nikolskoye,RU,73.29,clear sky,59.7035,30.7861,Tourist House - Sablino
164,Dharmanagar,IN,76.51,light rain,24.3667,92.1667,Juri Lodge
165,Saint-Augustin,CA,59.0,overcast clouds,51.226,-58.6502,
166,Dongsheng,CN,68.27,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
168,Vanimo,PG,75.33,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
169,Port Alfred,ZA,60.53,scattered clouds,-33.5906,26.891,The Halyards Hotel
170,Kampong Cham,KH,78.33,scattered clouds,11.9934,105.4635,7 Makara Hotel
171,Lompoc,US,85.69,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
172,Takoradi,GH,77.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
173,Matagami,CA,69.91,clear sky,49.7502,-77.6328,Hôtel Matagami
174,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
175,Wawa,NG,81.75,light rain,9.9022,4.4192,
176,Comodoro Rivadavia,AR,55.26,clear sky,-45.8667,-67.5,Austral Hotel
177,Berlevag,NO,51.8,broken clouds,70.8578,29.0864,Kvitbrakka
178,Piacabucu,BR,75.94,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
180,Chaman,PK,80.08,clear sky,30.9236,66.4512,Niamat parda Center chaman
181,Mehamn,NO,51.98,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
182,Vostok,RU,54.03,moderate rain,46.4856,135.8833,
183,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
184,Aklavik,CA,65.12,broken clouds,68.2191,-135.0107,Aklavik Inn
185,Haveri,IN,74.44,overcast clouds,14.8,75.4,Shivashakti Palace
186,Tarko-Sale,RU,55.9,overcast clouds,64.9225,77.785,Yubileynaya
187,Bowen,AU,68.22,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
189,Gobabis,,56.66,few clouds,-22.45,18.9667,Goba Lodge
190,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
191,Palembang,ID,74.59,overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
192,College,US,68.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
193,Careiro Da Varzea,BR,79.43,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
195,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
196,Port Elizabeth,ZA,65.1,few clouds,-33.918,25.5701,39 On Nile Guest House
197,Tarrafal,CV,79.59,clear sky,15.2833,-23.7667,Hotel Ixola
198,Lincoln,US,84.79,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
199,Khvalynsk,RU,65.73,clear sky,52.4906,48.1058,Hotel Serebryaniy Wek
200,Daru,PG,77.09,overcast clouds,-9.0763,143.2092,Daru Lodge
201,Hue,VN,87.91,few clouds,16.4667,107.6,Saigon Morin Hotel
203,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
204,Kalabo,ZM,60.17,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
207,Oka,CA,86.25,overcast clouds,45.4649,-74.0889,Parc national d'Oka
208,Navrongo,GH,87.4,overcast clouds,10.8956,-1.0921,Azakka Hotel
210,Maceio,BR,74.64,overcast clouds,-9.6658,-35.7353,Poutur Pousada
211,Cozumel,MX,82.99,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
214,Killybegs,IE,56.91,overcast clouds,54.6333,-8.45,Tara Hotel
215,Baiyin,CN,56.28,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
216,Naze,JP,76.68,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
217,Kimbe,PG,73.99,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
218,Nome,US,51.87,light rain,64.5011,-165.4064,Dredge 7 Inn
219,Tingi,TZ,58.8,clear sky,-11.3,35.0333,
221,Iseyin,NG,74.44,overcast clouds,7.9667,3.6,Momak Hotels And Suites
222,Zhuanghe,CN,67.05,heavy intensity rain,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
223,Pecos,US,81.05,broken clouds,31.4229,-103.4932,Knights Inn Pecos
224,Coquimbo,CL,55.13,broken clouds,-29.9533,-71.3436,Punto de encuentro
225,Korla,CN,74.98,clear sky,41.7597,86.1469,Gulisitan Hotel
226,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
227,Buala,SB,78.69,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
228,Arawa,PG,75.24,broken clouds,-6.2132,155.5367,Coastline Guest House
229,Mahebourg,MU,73.69,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
230,Mutis,CO,80.92,light rain,6.2262,-77.4044,Paraiso Escondido
231,Ponta Do Sol,PT,74.01,scattered clouds,32.6667,-17.1,Hotel do Campo
